"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
PEP15-HVCHIV-AIAN,"Hepatitis C/HIV in Native American Populations","Fact Sheet",,,"02/01/2015 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP15-SAFEAPP1,"Suicide Safe","Mobile Application",,,"02/01/2015 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP15-TALKAPP,"Talk. They Hear You.","Mobile Application",,,"03/01/2015 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP16-CMHI2014,"2014 Report to Congress for the Evaluation of the Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances",Report,,,"02/01/2016 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP16-CMHI2015,"2015 Report to Congress for the Evaluation of the Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances",Report,,,"07/01/2016 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP16-MAT-FLYER,"Medication-Assisted Treatment for Opioid Misuse Promotional Mobile App Rx Summit Flyer",,,,"04/30/2020 - 08:00",,0,0,0,,"Not Published","OUT OF STOCK",Internal,0,
PEP16-MATAPP,"MATx Mobile App by SAMHSA",,,,"10/01/2016 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP16-NTBH-AGENDA,"The National Tribal Behavioral Health Agenda",Report,,,"12/01/2016 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP17-4755,"2017 Talk. They Hear You. Annual Report",Report,,,"05/17/2018 - 08:00",,483,0,483,1,Published,"IN STOCK",External,0,"Pick Area"
PEP17-ISMICC-RTC,"The Way Forward: Federal Action for a System That Works for All People Living With SMI and SED and Their Families and Caregivers – Full Report",Report,,,"12/01/2017 - 07:00",,0,0,0,0,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-ISMICC-RTC-ES,"The Way Forward: Federal Action for a System That Works for All People Living With SMI and SED and Their Families and Caregivers – Executive Summary",Report,,,"12/01/2017 - 07:00",,0,0,0,0,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-NPWCALENDAR,"National Prevention Week Resource Calendar","Campaign or Initiative",,,"04/01/2017 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP17-TTHY-AR-2017,"2017 ""Talk.  They Hear You."" Annual Report",,,,"05/17/2019 - 08:00",,750,0,750,1,"Not Published","IN STOCK",External,0,
PEP17-TTHY-CHORES-P,"Talk. They Hear You: Chores – Poster","Campaign or Initiative",,,"05/17/2019 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-TTHY-DINNER-P,"Talk. They Hear You: Dinner Time – Poster","Campaign or Initiative",,,"05/17/2019 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0.01,"Pick Area, Pick Area"
PEP17-TTHY-FAMILY-PC,"Talk. They Hear You: During Family Time – Postcard","Campaign or Initiative",,,"05/17/2019 - 08:00",,0,0,0,20,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-TTHY-FLASH,"Talk. They Hear You. Campaign Flash Drive",,,,"06/05/2019 - 08:00",,200,0,200,1,"Not Published","IN STOCK",External,0,
PEP17-TTHY-FRIENDS-PC,"Talk. They Hear You: Heading Out to Hang with Friends – Postcard","Campaign or Initiative",,,"05/17/2019 - 08:00",,0,0,0,20,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-TTHY-GAME-PC,"Talk. They Hear You: After The Big Game Print Public Service Announcement – Postcard","Campaign or Initiative",,,"05/17/2019 - 08:00",,0,0,0,200,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-TTHY-MORNING-PC,"Talk. They Hear You: Start the Morning Off Together – Postcard","Campaign or Initiative",,,"05/20/2019 - 08:00",,0,0,0,20,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-TTHY-PREVENT-FS,"Talk. They Hear You: What You Can Do to Prevent Your Child from Drinking – Fact Sheet","Campaign or Initiative",,,"05/23/2019 - 08:00",,0,0,0,20,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP17-TTHY-SHOPPING-P,"Talk. They Hear You: Shopping Break – Poster","Campaign or Initiative",,,"05/23/2019 - 08:00",,117,0,117,5,Published,"IN STOCK",External,0,"Pick Area"
PEP17-TTHY-SHOPPING-PC,"Talk. They Hear You: Shopping Break – Postcard","Campaign or Initiative",,,"07/17/2019 - 08:00",,196,0,196,20,Published,"IN STOCK",External,0,"Pick Area"
PEP17-TTHY-SHOPPNG-PC,"Talk. They Hear You: Shopping Break – Postcard",,,,"05/23/2019 - 08:00",,1445,0,1445,20,"Not Published","IN STOCK",External,0,
PEP17-TTHY-SLEEP-PC,"Talk. They Hear You: Before the Big Sleepover – Postcard","Campaign or Initiative",,,"06/13/2018 - 08:00",,0,0,0,20,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP18-01,"Tips for Teens: The Truth About Cocaine","Fact Sheet",,,"04/01/2018 - 08:00",,387454,200,387654,500,Published,"IN STOCK",External,3.01,"A-8A, D-21A, D-39A, Pick Area, Pick Area"
PEP18-02,"Tips for Teens: The Truth About Heroin","Fact Sheet",,,"04/01/2018 - 08:00",,188520,200,188720,500,Published,"IN STOCK",External,1,"C-2A, C-2A, C-2A, Pick Area"
PEP18-03,"Tips for Teens: The Truth About Methamphetamine","Fact Sheet",,,"04/01/2018 - 08:00",,366578,500,367078,500,Published,"IN STOCK",External,3.01,"A-38A, C-22A, C-23A, Pick Area, Pick Area"
PEP18-04,"Tips for Teens: The Truth About Inhalants","Fact Sheet",,,"04/01/2018 - 08:00",,396935,300,397235,500,Published,"IN STOCK",External,3.01,"A-1A, C-16A, C-16B, Pick Area, Pick Area"
PEP18-4577,"2018 ""Talk.  They Hear You."" Annual Report",,,,"05/17/2018 - 08:00",,50,0,50,1,"Not Published","IN STOCK",External,0,
PEP18-4755,"2018 Talk. They Hear You. Annual Report",Report,,,"06/04/2018 - 08:00",,17,0,17,1,Published,"IN STOCK",External,0,"Pick Area"
PEP18-4755-HIGHLIGHTS,"2018 Talk. They Hear You. Annual Report Blow Ins",Report,,,"05/17/2018 - 08:00",,351,0,351,1,Published,"IN STOCK",External,0,"Pick Area"
PEP18-CMHI2016,"The Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances",Report,,,"04/01/2018 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP18-FROSTBURG,"College Drinking: Prevention Perspectives-Lessons Learned at Frostburg State University",Video,,,"10/01/2018 - 08:00",,0,0,0,0,Published,"OUT OF STOCK",None,0,
PEP18-NPWCALENDAR,"ARCHIVED - 2018 National Prevention Week Planning Guide and Resource Calendar",,,,"12/01/2017 - 07:00",,0,0,0,10,"Not Published","OUT OF STOCK",External,0,
PEP18-TREATMENT-LOC,"Finding Quality Treatment for Substance Use Disorders","Fact Sheet",,,"04/01/2018 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP18-TREATMENT-LOCS,"Finding Quality Treatment for Substance Use Disorders (Spanish Version)","Fact Sheet",,,"06/01/2018 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP18-TTHY-BACKGRD,"Talk. They Hear You. Campaign Backgrounder","Campaign or Initiative",,,"06/14/2019 - 08:00",,693,0,693,5,Published,"IN STOCK",External,0,"Pick Area"
PEP18-TTHY-FACTSHEET,"Talk. They Hear You. Campaign Fact Sheet","Campaign or Initiative",,,"06/14/2019 - 08:00",,1018,0,1018,5,Published,"IN STOCK",External,0,"Pick Area"
"PEP19- ANTIPSYCHOTIC-OA","Inappropriate Use of Antipsychotics Brief Guidance: Older Adults and People Living with Intellectual Disabilities in Community Settings",,,,"03/19/2019 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP19-01-01-001,"Helping Older Adults After Disasters: A Guide to Providing Support","Guidelines or Manual",,,"09/18/2019 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-01-01-002,"Tips for Survivors: Coping with Anger After a Disaster or Other Traumatic Event","Fact Sheet",,,"08/27/2019 - 08:00",,0,0,0,20,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-01-01-003,"Have You Experienced a Disaster? Poster pertaining to adult reactions",Poster,,,"09/16/2019 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-01-01-004,"Have You and Your Family Been Affected by a Disaster? Poster pertaining to youth and child reactions",Poster,,,"08/27/2019 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-01-01-005,"Communicating in a Crisis: Risk Communication Guidelines for Public Officials","Guidelines or Manual",,,"10/21/2019 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-02-00-001,"Advisory: Implementing Tobacco Cessation Treatment for Individuals with Serious Mental Illness: A Quick Guide for Program Directors and Clinicians",Advisory,,,"09/20/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-02-00-002,"Advisory: Mental and Substance Use Disorder Treatment for People With Physical and Cognitive Disabilities",Advisory,,,"09/20/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-02-01-001,"Anger Management for Substance Abuse and Mental Health Clients: A Cognitive-Behavioral Therapy Manual","Guidelines or Manual",,,"10/11/2019 - 08:00",,36576,221,36797,10,Published,"IN STOCK",External,14,"A-1B, A-27A, A-2A, A-37A, A-44B, A-50B, A-51A, A-51B, A-52B, A-52B, A-53A, A-53A, A-54A, A-54A, A-54B, B-7A, Pick Area"
PEP19-02-01-002,"Anger Management for Substance Use Disorder and Mental Health Clients: Participant Workbook",Workbook,,,"10/11/2019 - 08:00",,66427,1247,67674,20,Published,"IN STOCK",External,21.84,"A-10A, A-14B, A-24A, A-30A, A-30B, A-43B, A-9A, B-15A, B-16A, B-2B, B-5A, B-9A, C-10A, C-10B, C-11B, C-13A, C-13B, C-14B, C-19B, C-1B, C-2A, C-34A, C-34B, C-35A, C-36A, Pick Area, Pick Area, Pick Area"
PEP19-02-01-003,"TIP 35: Enhancing Motivation for Change in Substance Use Disorder Treatment","Guidelines or Manual",,,"10/11/2019 - 08:00",,9257,88,9345,5,Published,"IN STOCK",External,8.01,"A-47B, A-47B, A-48A, A-48B, D-10A, D-7A, D-7B, D-8A, D-8B, D-9A, Pick Area, Pick Area"
PEP19-02-01-004,"TIP 42: Substance Abuse Treatment for Persons With Co-Occurring Disorders",,,,"10/31/2019 - 08:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP19-03-01-001,"Talk. They Hear You. Student Assistance – A Guide for School Administrators","Campaign or Initiative",CSAP,,"10/02/2019 - 08:00",,3309,50,3359,50,Published,"IN STOCK",External,0,"Pick Area"
PEP19-04-01-001,"Intensive Care Coordination for Children and Youth with Complex Mental and Substance Use Disorders: STATE AND COMMUNITY PROFILES",Report,,,"06/01/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-05,"Tips for Teens: The Truth About Marijuana","Fact Sheet",,,"05/09/2019 - 08:00",,154521,803,155324,500,Published,"IN STOCK",External,1.51,"A-44A, B-1A, Pick Area, Pick Area, Pick Area"
PEP19-06,"Tips for Teens: The Truth About Steroids","Fact Sheet",,,"05/09/2019 - 08:00",,53188,100,53288,500,Published,"IN STOCK",External,1,"D-19A, Pick Area"
PEP19-07,"Tips for Teens: The Truth About Tobacco","Fact Sheet",,,"05/09/2019 - 08:00",,93223,800,94023,500,Published,"IN STOCK",External,1,"B-14A, Pick Area"
PEP19-08,"Tips for Teens: The Truth About Opioids","Fact Sheet",,,"05/09/2019 - 08:00",,144976,1270,146246,500,Published,"IN STOCK",External,2.01,"B-25A, D-22A, Pick Area, Pick Area"
PEP19-12,"Tips for Teens: The Truth About E-Cigarettes","Fact Sheet",,,"05/09/2019 - 08:00",,111090,1470,112560,500,Published,"IN STOCK",External,1.84,"A-20A, C-2A, C-3A, Pick Area, Pick Area"
PEP19-5068,"Key Substance Use and Mental Health Indicators in the United States: Results from the 2018 National Survey on Drug Use and Health","Series Report",,,"05/19/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-ANTIPSYCHOTIC-BP,"Guidance on Strategies to Promote Best Practice in Antipsychotic Prescribing for Children and Adolescents","Guidelines or Manual",,,"03/14/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-CRISIS-RURAL,"Tailoring Crisis Response and Pre-Arrest Diversion Models for Rural Communities","Guidelines or Manual",,,"06/28/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-FACT-BR,"Forensic Assertive Community Treatment (FACT): A Service Delivery Model for Individuals With Serious Mental Illness Involved With the Criminal Justice System","Guidelines or Manual",,,"06/28/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-INAPPUSE-BR,"Guidance on Inappropriate Use of Antipsychotics: Older Adults and People with Intellectual and Developmental Disabilities in Community Settings","Guidelines or Manual",,,"04/29/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-MAT-CORRECTIONS,"MAT Inside Correctional Facilities: Addressing Medication Diversion","Guidelines or Manual",,,"08/20/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-MATBRIEFCJS,"Medication-Assisted Treatment (MAT) in the Criminal Justice System: Brief Guidance to the States","Guidelines or Manual",,,"03/13/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-MATUSECJS,"Use of Medication-Assisted Treatment for Opioid Use Disorder in Criminal Justice Settings","Guidelines or Manual",,,"07/12/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-OLDERADULTS-SMI,"Older Adults Living with Serious Mental Illness:  The State of the Behavioral Health Workforce","Guidelines or Manual",,,"05/20/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-PL-Guide-1,"Substance Misuse Prevention for Young Adults","Guidelines or Manual",,,"12/05/2019 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-PL-Guide-2,"Preventing the Use of Marijuana: Focus on Women and Pregnancy","Guidelines or Manual",,,"12/05/2019 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-PL-Guide-3,"First-Episode Psychosis and Co-Occurring Substance Use Disorders",Blog,,,"10/24/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-PL-Guide-3,"First-Episode Psychosis and Co-Occurring Substance Use Disorders","Guidelines or Manual",,,"10/24/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-PL-Guide-5,"Use of Medications for Opioid Use Disorder in Emergency Departments",,,,"08/12/2019 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP19-PL-Guide-6,"Substance Use Disorders Recovery with a Focus on Employment and Education","Guidelines or Manual",OPPI,,,,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP19-SCHOOL-GUIDE,"Guidance to States and School Systems on Addressing Mental Health and Substance Use Issues in Schools","Guidelines or Manual",,,"07/01/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-SCREEN-CODJS,"Screening and Assessment of Co-Occurring Disorders in the Justice System","Guidelines or Manual",,,"06/28/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-SIM-BROCHURE,"Sequential Intercept Model Trifold Brochure",Brochure,,,"09/12/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP19-SIM-DATA,"Data Collection Across the Sequential Intercept Model (SIM): Essential Measures","Guidelines or Manual",,,"08/15/2019 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-006,"Talking With Children: Tips for Caregivers, Parents, and Teachers During Infectious Disease Outbreaks","Fact Sheet",CMHS,,"03/05/2020 - 07:00","Julie Liu",0,0,0,1,Published,"OUT OF STOCK",External,0,
PEP20-01-01-007,"Taking Care of Your Behavioral Health – Tips for Social Distancing, Quarantine, and Isolation During an Infectious Disease Outbreak","Fact Sheet",CMHS,Disaster,"04/22/2020 - 08:00","Julie Lio",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-008,"Taking Care of Your Behavioral Health – Tips for Social Distancing, Quarantine, and Isolation During an Infectious Disease Outbreak (Spanish Language Version) - Cómo cuidar de su salud conductual: Consejos para lidiar con medidas de precaución...","Fact Sheet",CMHS,Disaster,"05/18/2020 - 08:00","Julie Liu",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-009,"Talking With Children: Tips for Caregivers, Parents, and Teachers, During Infectious Disease Outbreak (Somali Language Version)","Fact Sheet",CMHS,,"05/06/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-010,"Behavioral Health Tips for Social Distancing, Quarantine, and Isolation during an Infectious Disease Outbreak (Somali Language Version)","Fact Sheet",CMHS,,"05/06/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-011,"Behavioral Health Tips for Social Distancing, Quarantine, and Isolation during an Infectious Disease Outbreak (Hmong Language Version)","Fact Sheet",CMHS,,"05/06/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-012,"Talking With Children: Tips for Caregivers, Parents, and Teachers, During Infectious Disease Outbreak (Hmong Language Version)","Fact Sheet",CMHS,,"05/06/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-013,"Tips for Managing Stress During the COVID-19 Pandemic Wallet Card","Wallet Card",CMHS,,"07/07/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-014,"Are You Working to Help People Affected by the COVID-19 Pandemic?",Flyer,CMHS,,"07/07/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-015,"Feeling Stressed or Anxious About the COVID-19 Pandemic?",Flyer,CMHS,,"07/07/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-016,"Tips for Healthcare Professionals: Coping with Stress and Compassion Fatigue","Fact Sheet",CMHS,,"07/10/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-017,"Estás trabajando para ayudar a las personas afectadas por la pandemia de COVID-19?",Flyer,CMHS,EMHTSSB,"09/10/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-01-01-018,"Consejos para manejar el estrés durante la pandemia de COVID-19 – Tarjeta de bolsillo","Wallet Card",CMHS,EMHTSSB,"09/10/2020 - 08:00","Julie Liu",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
